n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
22000,45571,91898,53721,56032,29276,55890,32061,15115,75889,30887,101661,31332,77290,67861,94626,19168,80689,24251,33367,100882,37753,85814,47423,56397,20077,38076,9925,52833,33649,82830,119369,46100,23713,39750,77118,36215,64778,48046,782,48671,98627,9048,22287,81307,129229,58980,38065,129892,37569,70176
23000,37350,73874,139684,47374,20965,80284,7892,35970,49527,51341,85448,67596,103328,38161,8684,44185,117161,71264,66656,52706,83777,58415,95453,85547,23379,34822,2206,27972,72782,73242,54579,69459,95351,24161,85341,46208,111696,30083,66237,78214,98385,196099,45055,24245,85244,39461,163795,1951,15183,17802
24000,90259,61871,35956,18379,79722,94667,66976,67428,177553,76452,55380,114103,36775,103959,3026,96817,182688,46315,81734,85509,64034,107091,127450,148545,81006,113303,31126,96392,139248,41870,113755,23435,172636,92685,37764,3055,57080,86699,104577,45338,87253,58326,58601,145658,61060,43929,65008,5775,102858,57063
25000,41188,51934,9853,73576,65393,122907,70803,47748,121560,102363,66504,7224,61336,90223,35876,53281,53571,81370,116857,57842,41130,119709,53451,49342,22275,34755,54895,113422,28138,48038,37487,22911,52898,112322,99111,18395,97978,21846,76114,64081,112085,43051,96504,51932,19059,12819,40269,86809,52812,67465
26000,79929,65974,835,24498,44775,91958,76540,33388,18633,37977,63005,91621,12511,111929,95759,132028,77684,52844,21023,83777,45425,75675,80921,85192,90621,22743,26087,72527,51224,66360,34582,50856,57702,82146,3522,71680,109651,18337,33702,33264,51842,65060,53365,205527,46523,157937,76631,77506,76916,10148
27000,53306,59580,51601,62560,119035,63557,19969,57132,53445,46252,65975,126732,115471,13130,86717,134906,73806,49951,23922,89260,27408,79979,8998,149688,19793,29002,98983,43833,105723,76018,41182,78,62586,123896,66974,41330,50942,49671,75773,78827,83469,56467,161894,114034,168752,77102,190098,85216,56113,85064
28000,104722,89543,131523,46136,25606,80563,126743,89388,133632,85605,19418,47355,24145,156649,34611,100214,97576,62584,105757,69705,57467,86276,80601,54426,39444,90338,77417,97260,112338,19925,41574,103717,2660,74939,43136,32685,64923,8220,64426,91095,89731,79718,55649,87244,147778,135106,121856,113454,71782,41314
29000,60440,67756,169664,91110,23216,119892,84732,114339,55561,69099,84957,25196,35002,109266,50690,35090,47742,106302,27894,65335,144604,66262,15304,139465,51483,89283,15540,73476,69016,80577,96623,74942,40291,93006,73445,58028,84844,47590,45610,55511,58696,117569,219436,40656,74332,132851,40507,30162,95762,137968
30000,88021,60291,66909,74688,50032,64564,121271,108757,95462,75596,83528,172687,73161,71450,37952,96857,61145,140485,65026,42451,80672,112437,108210,74536,25518,82741,47610,73371,4949,78872,200634,25591,161787,74711,218515,27194,50389,84631,58217,38027,57220,57894,79413,122274,62744,40359,40412,79582,35936,149485
31000,87153,129367,95174,137903,57014,65033,82000,139129,81379,124233,57684,105255,15186,48491,3539,78760,52146,25453,118534,125325,92930,38774,115059,78351,17254,176356,105926,219673,86913,71729,25805,103464,31911,118948,51014,150017,54989,142591,65090,38874,135915,134336,138050,5712,49812,82145,165282,98770,47550,90141
32000,38715,19794,112128,299641,95879,81710,161147,86372,115758,114706,123034,65441,30975,97236,57197,58129,94943,37022,43470,29188,93130,152036,142058,70762,95478,82529,60334,120285,175206,27812,101096,5527,54757,30195,102086,128968,86816,102954,106225,152011,31623,48646,87799,76744,36098,41767,44229,86565,91101,81642
33000,63541,124169,100987,74562,125914,81365,162511,92955,83649,172409,135336,81313,31803,101366,115221,69350,154589,73665,90026,104878,118708,131661,112828,121162,87305,40399,89286,78552,67507,119156,82459,40154,68100,66821,192358,66938,66790,34373,61596,85801,62228,116121,69496,87407,73237,36947,21483,85833,143263,96621
34000,122079,40503,49602,98512,27796,104294,124180,83654,1614,45865,88858,97785,44849,64289,96605,52759,20951,119726,15013,148451,45515,6273,96153,114907,118840,196722,137567,189000,116865,178332,51222,104692,95399,120128,101040,52538,145087,96867,55513,1425,98836,103943,48675,123089,7009,34594,176369,129091,32337,92209
35000,63275,112441,50065,85621,95793,199168,39008,82922,118661,59018,72672,369219,32769,30199,179649,129914,84068,43206,106884,43594,91351,125530,168910,73823,51167,63095,215551,67270,131087,80776,81739,65663,179037,85649,82232,121258,9066,90569,43667,202184,140929,118638,87997,124782,6805,97058,171991,116305,85915,140433
36000,125732,113364,191612,81387,89767,167065,53866,140156,97457,78157,111811,122304,79456,100164,203547,48352,84773,32493,132329,47244,94300,51524,179273,63675,111544,51004,13352,49514,59996,97057,83023,75865,249803,156476,96882,43650,87994,237155,58816,80985,130441,153013,80204,141123,69037,14852,57465,118995,116738,110028
37000,124282,110079,92008,1083,53244,74784,132055,120425,51877,168404,63215,79213,20875,94893,79350,55125,88963,130993,125184,89285,9202,25404,214638,22721,26095,128514,74701,56068,90004,69331,85269,118985,26164,136125,86881,122921,157608,180765,69115,82169,90921,181809,13183,158708,5927,125393,68036,36427,68445,91932
38000,146467,74648,34912,50432,64809,97843,114261,139319,52197,83388,76098,125573,181391,12693,119419,69896,3665,111204,111811,31942,126061,150128,154690,135638,72678,134746,61386,197900,28308,21641,148262,113466,175762,91077,135946,215411,101782,80295,138743,60274,69837,85003,157293,42372,239212,49022,57618,117028,162542,120986
39000,163463,150903,155335,131785,125706,267516,158554,133648,107869,106550,32759,5339,112783,33465,65239,34205,35426,51585,114763,26048,105447,77210,58215,46304,126190,126529,137000,141285,141209,134834,14383,41433,89380,193513,50082,85514,67464,121628,64108,85605,125339,14420,193403,86141,48814,76464,151503,67994,14947,157018
40000,124877,61085,119661,137532,107279,96522,101650,82869,76725,114681,261210,97634,112729,47706,74142,4293,44064,146539,167656,109115,54522,68260,137171,53038,3768,98664,2666,80844,106875,171410,139491,48739,73657,87676,141320,50098,126067,120326,232189,148030,57280,182039,84151,115212,92993,125917,55852,139986,127247,147770
