n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
18000,169887,166398,208113,225955,200137,167947,171400,167209,168945,217751,161816,188224,213096,170962,167904,171205,152283,209028,201725,169605,174434,200148,174752,201093,200450,178435,161522,159918,195114,193681,167403,310866,176711,174530,202001,158029,221922,162210,217419,158196,212149,201672,169140,172163,220935,185954,240885,190289,203267,175435
19000,260220,218437,208483,228206,191374,172134,186349,175857,221231,208126,225810,161238,168759,179535,182291,201597,205139,185426,204004,204572,233362,171225,238915,203930,212401,229119,204953,189249,182424,232075,214451,193143,181217,186742,160613,202105,170056,197082,194072,224668,210006,247660,201330,166928,172109,187121,191143,199940,231836,192931
20000,255261,200228,186599,210150,210064,248431,198501,194788,202176,216117,180789,193882,187959,215563,178958,197461,193571,192258,210324,198205,271000,218195,177613,214728,177259,163751,190277,215003,185255,240208,201020,228367,242235,196641,171435,195850,180286,212516,198658,180361,244124,194587,204669,199969,220971,196810,280709,235701,179131,176881
21000,276462,275001,207184,194306,207032,246737,242631,261116,211919,207499,230894,236746,213044,189201,194791,200869,207045,221271,229471,187492,209131,221243,206325,183201,215789,191739,227621,215218,199483,222122,194228,196766,239398,198009,241317,186346,204374,203011,226972,183777,264335,199635,250303,243568,234789,222137,264023,198723,203410,192095
22000,229921,260461,229030,199732,202122,241099,236843,206226,197741,249790,226529,346014,235608,209660,235985,228867,224721,225404,245647,266202,234222,236971,242280,248207,256687,306632,252237,205304,261488,267461,247743,237748,218565,237984,218939,281285,244786,239010,202369,309787,229601,246460,248347,230322,201690,257219,253807,227414,241026,294352
23000,231774,306199,288397,248655,291436,241730,226032,224960,251053,205952,258544,208365,234913,255543,270636,202808,229090,221848,238180,256335,264094,304793,277533,253619,234001,252165,268669,244983,236726,220733,257031,205684,214658,221546,268071,225107,255730,216083,216334,244766,282513,190622,213983,216485,263928,327577,237556,255300,280344,208062
24000,255170,378537,258252,356361,253051,314929,232318,249890,272876,240960,256661,273908,233083,321434,214792,277000,267185,229746,249343,236124,228295,284332,258535,237979,275740,224902,262427,240731,322265,235545,217557,335888,279671,246534,274772,275771,267158,262924,274318,208170,260902,312165,328263,272429,230226,224767,267343,249171,256055,251382
25000,276761,290602,282218,239522,280881,232772,247858,276339,248349,243987,260257,262656,231433,290299,254330,296953,255835,267453,275791,258219,296079,267589,259570,279550,288607,253707,251526,235367,253126,275845,260483,321135,255244,243737,251852,262614,240509,281095,253363,234646,234328,257517,232032,266156,240748,314421,269651,242112,249664,287128
26000,251656,264410,324616,218894,261247,259881,373194,265921,251546,343653,292403,234706,262489,268903,280404,298707,257221,305841,264549,260746,277911,252759,234018,300077,278262,262569,245144,254900,258876,348392,313787,267095,258274,238789,303044,246393,277156,284149,259879,278174,245438,288850,237189,273798,305055,253739,334180,349547,245192,307304
27000,258264,286881,271466,395917,251574,304312,272819,310371,340333,258836,286997,328266,264513,329497,253262,302376,299637,327400,289314,293108,265749,243769,256621,295926,303429,268145,328672,275749,276061,295761,268852,302462,267453,421214,342299,265755,298480,320842,283430,359880,330182,346736,283168,260411,333565,346468,256245,272533,269657,327081
